YYYYMM,Value,Description
200409,28.737,Tamil Nadu
200410,23.87,Tamil Nadu
200411,20.425,Tamil Nadu
200412,21.02,Tamil Nadu
200413,296.849,Tamil Nadu
200501,20.948,Tamil Nadu
200502,17.984,Tamil Nadu
200503,21.007,Tamil Nadu
200504,21.223,Tamil Nadu
200505,23.001,Tamil Nadu
200506,32.282,Tamil Nadu
200507,42.233,Tamil Nadu
200508,43.005,Tamil Nadu
200509,31.368,Tamil Nadu
200510,23.6,Tamil Nadu
200511,20.288,Tamil Nadu
200512,22.096,Tamil Nadu
200513,319.112,Tamil Nadu
200601,17.316,Tamil Nadu
200602,18.825,Tamil Nadu
200603,22.129,Tamil Nadu
200604,23.163,Tamil Nadu
200605,27.433,Tamil Nadu
200606,34.204,Tamil Nadu
200607,46.941,Tamil Nadu
200608,45.669,Tamil Nadu
200609,29.784,Tamil Nadu
200610,28.661,Tamil Nadu
200611,21.556,Tamil Nadu
200612,22.528,Tamil Nadu
200613,338.244,Tamil Nadu
200701,24.354,Tamil Nadu
200702,23.131,Tamil Nadu
200703,22.6,Tamil Nadu
200704,24.617,Tamil Nadu
200705,27.554,Tamil Nadu
200706,34.118,Tamil Nadu
200707,41.3,Tamil Nadu
200708,52.659,Tamil Nadu
200709,37.094,Tamil Nadu
200710,32.8,Tamil Nadu
200711,24.335,Tamil Nadu
200712,27.056,Tamil Nadu
200713,371.674,Tamil Nadu
200801,28.901,Tamil Nadu
200802,23.864,Tamil Nadu
200803,25.045,Tamil Nadu
200804,25.512,Tamil Nadu
200805,25.814,Tamil Nadu
200806,36.133,Tamil Nadu
200807,42.466,Tamil Nadu
200808,41.429,Tamil Nadu
200809,32.722,Tamil Nadu
200810,29.609,Tamil Nadu
200811,24.86,Tamil Nadu
200812,25.897,Tamil Nadu
200813,362.32,Tamil Nadu
200901,26.449,Tamil Nadu
200902,24.603,Tamil Nadu
200903,27.097,Tamil Nadu
200904,24.465,Tamil Nadu
200905,27.918,Tamil Nadu
200906,34.82,Tamil Nadu
200907,42.156,Tamil Nadu
200908,45.538,Tamil Nadu
200909,37.387,Tamil Nadu
200910,29.099,Tamil Nadu
200911,24.776,Tamil Nadu
200912,28.204,Tamil Nadu
200913,372.585,Tamil Nadu
201001,29.537,Tamil Nadu
201002,25.952,Tamil Nadu
201003,24.705,Tamil Nadu
201004,25.479,Tamil Nadu
201005,30.234,Tamil Nadu
201006,38.131,Tamil Nadu
201007,48.489,Tamil Nadu
201008,50.968,Tamil Nadu
201009,37.642,Tamil Nadu
201010,30.811,Tamil Nadu
201011,26.843,Tamil Nadu
201012,30.528,Tamil Nadu
201013,399.392,Tamil Nadu
201101,29.188,Tamil Nadu
201102,26.152,Tamil Nadu
201103,26.043,Tamil Nadu
201104,28.164,Tamil Nadu
201105,30.881,Tamil Nadu
201106,37.765,Tamil Nadu
201107,50.694,Tamil Nadu
201108,49.767,Tamil Nadu
201109,36.941,Tamil Nadu
201110,31.04,Tamil Nadu
201111,29.308,Tamil Nadu
201112,33.18,Tamil Nadu
201113,409.184,Tamil Nadu
201201,35.11,Tamil Nadu
201202,34.877,Tamil Nadu
201203,36.456,Tamil Nadu
201204,38.626,Tamil Nadu
201205,43.922,Tamil Nadu
201206,47.572,Tamil Nadu
201207,58.49,Tamil Nadu
201208,54.282,Tamil Nadu
201209,43.384,Tamil Nadu
201210,36.176,Tamil Nadu
201211,31.355,Tamil Nadu
201212,32.434,Tamil Nadu
201213,492.726,Tamil Nadu
201301,34.294,Tamil Nadu
201302,30.857,Tamil Nadu
201303,32.778,Tamil Nadu
201304,30.64,Tamil Nadu
201305,33.337,Tamil Nadu
201306,39.974,Tamil Nadu
201307,49.416,Tamil Nadu
201308,48.842,Tamil Nadu
201309,40.751,Tamil Nadu
201310,34.547,Tamil Nadu
201311,32.614,Tamil Nadu
201312,36.308,Tamil Nadu
201313,444.416,Tamil Nadu
201401,36.133,Tamil Nadu
201402,30.036,Tamil Nadu
201403,30.554,Tamil Nadu
201404,29.885,Tamil Nadu
201405,35.211,Tamil Nadu
201406,39.228,Tamil Nadu
201407,45.901,Tamil Nadu
201408,48.871,Tamil Nadu
201409,41.961,Tamil Nadu
201410,38.286,Tamil Nadu
201411,32.703,Tamil Nadu
201412,34.8,Tamil Nadu
201413,443.643,Tamil Nadu
201501,39.155,Tamil Nadu
201502,35.668,Tamil Nadu
201503,38.872,Tamil Nadu
201504,36.61,Tamil Nadu
201505,40.44,Tamil Nadu
201506,48.92,Tamil Nadu
201507,57.712,Tamil Nadu
201508,56.662,Tamil Nadu
201509,49.384,Tamil Nadu
201510,43.68,Tamil Nadu
201511,40.394,Tamil Nadu
201512,42.27,Tamil Nadu
201513,529.83,Tamil Nadu
201601,42.566,Tamil Nadu
201602,37.918,Tamil Nadu
201603,40.525,Tamil Nadu
201604,39.763,Tamil Nadu
201605,44.21,Tamil Nadu
201606,53.567,Tamil Nadu
201607,62.881,Tamil Nadu
197301,2.375,Kerala
197302,2.061,Kerala
197303,1.171,Kerala
197304,1.022,Kerala
197305,0.949,Kerala
197306,1.787,Kerala
197307,1.965,Kerala
197308,2.536,Kerala
197309,1.432,Kerala
197310,1.473,Kerala
197311,1.537,Kerala
197312,1.606,Kerala
197313,19.914,Kerala
197401,1.835,Kerala
197402,1.837,Kerala
197403,1.868,Kerala
197404,1.669,Kerala
197405,1.927,Kerala
197406,1.68,Kerala
197407,2.544,Kerala
197408,2.029,Kerala
197409,1.622,Kerala
197410,1.65,Kerala
197411,1.926,Kerala
197412,1.939,Kerala
197413,22.525,Kerala
197501,2.243,Kerala
197502,1.579,Kerala
197503,1.266,Kerala
197504,0.985,Kerala
197505,1.385,Kerala
197506,1.746,Kerala
197507,1.648,Kerala
197508,2.002,Kerala
197509,0.803,Kerala
197510,0.797,Kerala
197511,0.754,Kerala
197512,1.299,Kerala
197513,16.509,Kerala
197601,2.092,Kerala
197602,1.132,Kerala
197603,1.183,Kerala
197604,1.046,Kerala
197605,0.942,Kerala
197606,1.496,Kerala
197607,1.682,Kerala
197608,1.429,Kerala
197609,1.045,Kerala
197610,1.31,Kerala
197611,2.069,Kerala
197612,2.312,Kerala
197613,17.738,Kerala
197701,4.038,Kerala
197702,1.335,Kerala
197703,1.049,Kerala
197704,0.939,Kerala
197705,1.624,Kerala
197706,1.825,Kerala
197707,3.273,Kerala
197708,1.963,Kerala
197709,1.061,Kerala
197710,0.799,Kerala
197711,1.045,Kerala
197712,1.719,Kerala
197713,20.671,Kerala
197801,3.502,Kerala
197802,3.267,Kerala
197803,2.321,Kerala
197804,0.912,Kerala
197805,0.973,Kerala
197806,1.513,Kerala
197807,1.516,Kerala
197808,1.514,Kerala
197809,1.397,Kerala
197810,0.776,Kerala
197811,0.917,Kerala
197812,1.543,Kerala
197813,20.151,Kerala
197901,2.649,Kerala
197902,2.104,Kerala
197903,0.791,Kerala
197904,0.715,Kerala
197905,0.873,Kerala
197906,0.982,Kerala
197907,1.019,Kerala
197908,1.021,Kerala
197909,0.737,Kerala
197910,0.479,Kerala
197911,0.83,Kerala
197912,0.81,Kerala
197913,13.009,Kerala
198001,1.361,Kerala
198002,1.176,Kerala
198003,0.935,Kerala
198004,0.579,Kerala
198005,0.647,Kerala
198006,0.83,Kerala
198007,1.623,Kerala
198008,1.704,Kerala
198009,0.915,Kerala
198010,0.606,Kerala
198011,0.975,Kerala
198012,0.984,Kerala
198013,12.337,Kerala
198101,1.293,Kerala
198102,0.954,Kerala
198103,0.598,Kerala
198104,0.577,Kerala
198105,0.763,Kerala
198106,1.151,Kerala
198107,1.113,Kerala
198108,0.606,Kerala
198109,0.487,Kerala
198110,0.478,Kerala
198111,0.485,Kerala
198112,0.561,Kerala
198113,9.066,Kerala
198201,1.331,Kerala
198202,0.604,Kerala
198203,0.555,Kerala
198204,0.482,Kerala
198205,0.422,Kerala
198206,0.448,Kerala
198207,0.579,Kerala
198208,0.448,Kerala
198209,0.392,Kerala
198210,0.369,Kerala
198211,0.429,Kerala
198212,0.466,Kerala
198213,6.525,Kerala
198301,0.473,Kerala
198302,0.419,Kerala
198303,0.403,Kerala
198304,0.449,Kerala
198305,0.399,Kerala
198306,0.435,Kerala
198307,0.61,Kerala
198308,0.657,Kerala
198309,0.642,Kerala
198310,0.371,Kerala
198311,0.458,Kerala
198312,1.719,Kerala
198313,7.036,Kerala
198401,0.927,Kerala
198402,0.434,Kerala
198403,0.433,Kerala
198404,0.354,Kerala
198405,0.43,Kerala
198406,0.821,Kerala
198407,0.536,Kerala
198408,0.649,Kerala
198409,0.424,Kerala
198410,0.411,Kerala
198411,0.565,Kerala
198412,0.488,Kerala
198413,6.473,Kerala
198501,1.057,Kerala
198502,0.568,Kerala
198503,0.417,Kerala
198504,0.388,Kerala
198505,0.41,Kerala
198506,0.474,Kerala
198507,0.473,Kerala
198508,0.57,Kerala
198509,0.417,Kerala
198510,0.413,Kerala
198511,0.435,Kerala
198512,0.614,Kerala
198513,6.236,Kerala
198601,0.719,Kerala
198602,0.469,Kerala
198603,0.395,Kerala
198604,0.38,Kerala
198605,0.515,Kerala
198606,0.592,Kerala
198607,0.736,Kerala
198608,0.49,Kerala
198609,0.472,Kerala
198610,0.37,Kerala
198611,0.458,Kerala
198612,0.507,Kerala
198613,6.104,Kerala
198701,0.561,Kerala
198702,0.489,Kerala
198703,0.523,Kerala
198704,0.44,Kerala
198705,0.504,Kerala
198706,0.599,Kerala
198707,0.884,Kerala
198708,0.702,Kerala
198709,0.394,Kerala
198710,0.38,Kerala
198711,0.557,Kerala
198712,0.514,Kerala
198713,6.548,Kerala
198801,0.98,Kerala
198802,0.484,Kerala
198803,0.445,Kerala
198804,0.343,Kerala
198805,0.425,Kerala
198806,0.791,Kerala
198807,0.828,Kerala
198808,1.367,Kerala
198809,0.428,Kerala
198810,0.469,Kerala
198811,0.512,Kerala
198812,0.926,Kerala
198813,7.997,Kerala
198901,0.898,Kerala
198902,1.061,Kerala
198903,1.176,Kerala
198904,0.457,Kerala
198905,0.665,Kerala
198906,0.905,Kerala
198907,0.953,Kerala
198908,0.669,Kerala
198909,0.667,Kerala
198910,0.516,Kerala
198911,0.649,Kerala
198912,2.528,Kerala
198913,11.145,Kerala
199001,0.589,Kerala
199002,0.464,Kerala
199003,0.436,Kerala
199004,0.493,Kerala
199005,0.546,Kerala
199006,0.74,Kerala
199007,0.769,Kerala
199008,0.771,Kerala
199009,0.628,Kerala
199010,0.565,Kerala
199011,0.433,Kerala
199012,0.625,Kerala
199013,7.059,Kerala
199101,0.529,Kerala
199102,0.358,Kerala
199103,0.369,Kerala
199104,0.454,Kerala
199105,0.809,Kerala
199106,0.5,Kerala
199107,0.543,Kerala
199108,0.615,Kerala
199109,0.519,Kerala
199110,0.402,Kerala
199111,0.511,Kerala
199112,0.51,Kerala
199113,6.118,Kerala
199201,0.513,Kerala
199202,0.375,Kerala
199203,0.393,Kerala
199204,0.377,Kerala
199205,0.392,Kerala
199206,0.501,Kerala
199207,0.665,Kerala
199208,0.471,Kerala
199209,0.395,Kerala
199210,0.369,Kerala
199211,0.467,Kerala
199212,0.46,Kerala
199213,5.379,Kerala
199301,0.487,Kerala
199302,0.449,Kerala
199303,0.614,Kerala
199304,0.393,Kerala
199305,0.417,Kerala
199306,0.496,Kerala
199307,0.873,Kerala
199308,0.752,Kerala
199309,0.495,Kerala
199310,0.431,Kerala
199311,0.426,Kerala
199312,0.493,Kerala
199313,6.327,Kerala
199401,1.992,Kerala
199402,0.75,Kerala
199403,0.545,Kerala
199404,0.559,Kerala
199405,0.625,Kerala
199406,1.005,Kerala
199407,0.822,Kerala
199408,0.548,Kerala
199409,0.467,Kerala
199410,0.435,Kerala
199411,0.463,Kerala
199412,0.563,Kerala
199413,8.775,Kerala
199501,0.536,Kerala
199502,0.668,Kerala
199503,0.46,Kerala
199504,0.466,Kerala
199505,0.575,Kerala
199506,0.606,Kerala
199507,0.953,Kerala
199508,1.448,Kerala
199509,0.458,Kerala
199510,0.473,Kerala
199511,0.533,Kerala
199512,0.721,Kerala
199513,7.898,Kerala
199601,0.931,Kerala
199602,1.19,Kerala
199603,0.754,Kerala
199604,0.474,Kerala
199605,0.641,Kerala
199606,0.513,Kerala
199607,0.626,Kerala
199608,0.532,Kerala
199609,0.565,Kerala
199610,0.509,Kerala
199611,0.527,Kerala
199612,0.735,Kerala
199613,7.995,Kerala
199701,0.911,Kerala
199702,0.459,Kerala
199703,0.454,Kerala
199704,0.565,Kerala
199705,0.516,Kerala
199706,0.745,Kerala
199707,1.389,Kerala
199708,0.732,Kerala
199709,0.562,Kerala
199710,0.596,Kerala
199711,0.562,Kerala
199712,0.592,Kerala
199713,8.084,Kerala
199801,0.478,Kerala
199802,0.374,Kerala
199803,0.547,Kerala
199804,0.447,Kerala
199805,0.92,Kerala
199806,1.432,Kerala
199807,1.551,Kerala
199808,1.435,Kerala
199809,1.201,Kerala
199810,0.452,Kerala
199811,0.459,Kerala
199812,0.621,Kerala
199813,9.918,Kerala
199901,1.117,Kerala
199902,0.421,Kerala
199903,0.515,Kerala
199904,0.788,Kerala
199905,0.6,Kerala
199906,0.985,Kerala
199907,2.281,Kerala
199908,1.408,Kerala
199909,0.594,Kerala
199910,0.484,Kerala
199911,0.549,Kerala
199912,0.499,Kerala
199913,10.24,Kerala
200001,0.992,Kerala
200002,0.599,Kerala
200003,0.512,Kerala
200004,0.462,Kerala
200005,1.078,Kerala
200006,0.931,Kerala
200007,1.098,Kerala
200008,1.233,Kerala
200009,0.833,Kerala
200010,0.574,Kerala
200011,0.725,Kerala
200012,3.74,Kerala
200013,12.777,Kerala
200101,3.387,Kerala
200102,1.128,Kerala
200103,1.241,Kerala
200104,1.099,Kerala
200105,0.914,Kerala
200106,0.776,Kerala
200107,0.741,Kerala
200108,1.106,Kerala
200109,0.517,Kerala
200110,0.568,Kerala
200111,0.447,Kerala
200112,0.537,Kerala
200113,12.461,Kerala
200201,0.783,Kerala
200202,0.484,Kerala
200203,0.778,Kerala
200204,0.741,Kerala
200205,0.859,Kerala
200206,0.723,Kerala
200207,1.112,Kerala
200208,1.034,Kerala
200209,0.698,Kerala
200210,0.818,Kerala
200211,0.572,Kerala
200212,0.711,Kerala
200213,9.312,Kerala
200301,1.911,Kerala
200302,1.632,Kerala
200303,1.218,Kerala
200304,0.655,Kerala
200305,1.053,Kerala
200306,1.204,Kerala
200307,1.005,Kerala
200308,0.867,Kerala
200309,0.511,Kerala
200310,0.52,Kerala
200311,0.473,Kerala
200312,0.712,Kerala
200313,11.762,Kerala
200401,1.77,Kerala
200402,0.601,Kerala
200403,0.538,Kerala
200404,0.464,Kerala
200405,0.698,Kerala
200406,0.656,Kerala
200407,0.596,Kerala
200408,0.562,Kerala
200409,0.658,Kerala
200410,0.442,Kerala
200411,0.389,Kerala
200412,0.758,Kerala
200413,8.132,Kerala
200501,1.242,Kerala
200502,0.369,Kerala
200503,0.431,Kerala
200504,0.438,Kerala
200505,0.47,Kerala
200506,0.602,Kerala
200507,0.92,Kerala
200508,1.04,Kerala
200509,0.796,Kerala
200510,0.599,Kerala
200511,0.436,Kerala
200512,1.032,Kerala
200513,8.373,Kerala
200601,0.444,Kerala
200602,0.396,Kerala
200603,0.315,Kerala
200604,0.418,Kerala
200605,0.42,Kerala
200606,0.48,Kerala
200607,0.608,Kerala
200608,0.691,Kerala
200609,0.341,Kerala
200610,0.404,Kerala
200611,0.403,Kerala
200612,0.45,Kerala
200613,5.368,Kerala
200701,0.596,Kerala
200702,1.057,Kerala
200703,0.523,Kerala
200704,0.407,Kerala
200705,0.423,Kerala
200706,0.512,Kerala
200707,0.498,Kerala
200708,0.713,Kerala
200709,0.404,Kerala
200710,0.468,Kerala
200711,0.393,Kerala
200712,0.493,Kerala
200713,6.486,Kerala
200801,0.675,Kerala
200802,0.5,Kerala
200803,0.391,Kerala
200804,0.391,Kerala
200805,0.392,Kerala
200806,0.566,Kerala
200807,0.417,Kerala
200808,0.369,Kerala
200809,0.366,Kerala
200810,0.323,Kerala
200811,0.353,Kerala
200812,0.561,Kerala
200813,5.305,Kerala
200901,0.788,Kerala
200902,0.468,Kerala
200903,0.519,Kerala
200904,0.328,Kerala
200905,0.417,Kerala
200906,0.396,Kerala
200907,0.367,Kerala
200908,0.393,Kerala
200909,0.3,Kerala
200910,0.344,Kerala
200911,0.337,Kerala
200912,0.433,Kerala
200913,5.089,Kerala
201001,1.039,Kerala
201002,0.36,Kerala
201003,0.321,Kerala
201004,0.296,Kerala
201005,0.432,Kerala
201006,0.517,Kerala
201007,0.553,Kerala
201008,0.451,Kerala
201009,0.373,Kerala
201010,0.326,Kerala
201011,0.376,Kerala
201012,0.784,Kerala
201013,5.829,Kerala
201101,0.559,Kerala
201102,0.385,Kerala
201103,0.374,Kerala
201104,0.419,Kerala
201105,0.405,Kerala
201106,0.403,Kerala
201107,0.473,Kerala
201108,0.345,Kerala
201109,0.302,Kerala
201110,0.309,Kerala
201111,0.316,Kerala
201112,0.368,Kerala
201113,4.656,Kerala
201201,0.352,Kerala
201202,0.282,Kerala
201203,0.258,Kerala
201204,0.29,Kerala
201205,0.369,Kerala
201206,0.362,Kerala
201207,0.393,Kerala
201208,0.308,Kerala
201209,0.269,Kerala
201210,0.289,Kerala
201211,0.309,Kerala
201212,0.354,Kerala
201213,3.835,Kerala
201301,0.459,Kerala
201302,0.305,Kerala
201303,0.291,Kerala
201304,0.3,Kerala
201305,0.353,Kerala
201306,0.295,Kerala
201307,0.446,Kerala
201308,0.28,Kerala
201309,0.272,Kerala
201310,0.275,Kerala
201311,0.325,Kerala
201312,0.452,Kerala
201313,4.054,Kerala
201401,2.085,Kerala
201402,0.565,Kerala
201403,0.611,Kerala
201404,0.276,Kerala
201405,0.347,Kerala
201406,0.287,Kerala
201407,0.277,Kerala
201408,0.297,Kerala
201409,0.296,Kerala
201410,0.275,Kerala
201411,0.346,Kerala
201412,0.348,Kerala
201413,6.011,Kerala
201501,0.556,Kerala
201502,1.595,Kerala
201503,0.354,Kerala
201504,0.263,Kerala
201505,0.353,Kerala
201506,0.334,Kerala
201507,0.323,Kerala
201508,0.302,Kerala
201509,0.276,Kerala
201510,0.266,Kerala
201511,0.338,Kerala
201512,0.337,Kerala
201513,5.297,Kerala
201601,0.502,Kerala
201602,0.353,Kerala
201603,0.279,Kerala
201604,0.259,Kerala
201605,0.34,Kerala
201606,0.293,Kerala
201607,0.342,Kerala
197301,0.128,Orissa
197302,0.106,Orissa
197303,0.083,Orissa
197304,0.13,Orissa
197305,0.167,Orissa
197306,0.171,Orissa
197307,0.15,Orissa
197308,0.166,Orissa
197309,0.116,Orissa
197310,0.102,Orissa
197311,0.087,Orissa
197312,0.152,Orissa
197313,1.559,Orissa
197401,0.183,Orissa
197402,0.148,Orissa
197403,0.156,Orissa
197404,0.11,Orissa
197405,0.093,Orissa
197406,0.08,Orissa
197407,0.096,Orissa
197408,0.098,Orissa
197409,0.093,Orissa
197410,0.296,Orissa
197411,0.303,Orissa
197412,0.266,Orissa
197413,1.922,Orissa
197501,0.034,Orissa
197502,0.025,Orissa
197503,0.013,Orissa
197504,0.013,Orissa
197505,0.009,Orissa
197506,0.019,Orissa
197507,0.022,Orissa
197508,0.014,Orissa
197509,0.017,Orissa
197510,0.016,Orissa
197511,0.017,Orissa
197512,0.018,Orissa
197513,0.216,Orissa
197601,0.017,Orissa
197602,0.017,Orissa
197603,0.018,Orissa
197604,0.013,Orissa
197605,0.014,Orissa
197606,0.015,Orissa
197607,0.018,Orissa
197608,0.016,Orissa
197609,0.015,Orissa
197610,0.023,Orissa
197611,0.023,Orissa
197612,0.02,Orissa
197613,0.209,Orissa
197701,0.014,Orissa
197702,0.016,Orissa
197703,0.028,Orissa
197704,0.036,Orissa
197705,0.024,Orissa
197706,0.029,Orissa
197707,0.036,Orissa
197708,0.034,Orissa
197709,0.025,Orissa
197710,0.018,Orissa
197711,0.02,Orissa
197712,0.02,Orissa
197713,0.3,Orissa
197801,0.03,Orissa
197802,0.169,Orissa
197803,0.198,Orissa
197804,0.12,Orissa
197805,0.085,Orissa
197806,0.095,Orissa
197807,0.098,Orissa
197808,0.094,Orissa
197809,0.087,Orissa
197810,0.075,Orissa
197811,0.082,Orissa
197812,0.091,Orissa
197813,1.225,Orissa
197901,0.103,Orissa
197902,0.099,Orissa
197903,0.067,Orissa
197904,0.046,Orissa
197905,0.072,Orissa
197906,0.077,Orissa
197907,0.072,Orissa
197908,0.072,Orissa
197909,0.053,Orissa
197910,0.049,Orissa
197911,0.056,Orissa
197912,0.06,Orissa
197913,0.824,Orissa
198001,0.168,Orissa
198002,0.066,Orissa
198003,0.04,Orissa
198004,0.022,Orissa
198005,0.034,Orissa
198006,0.034,Orissa
198007,0.033,Orissa
198008,0.047,Orissa
198009,0.035,Orissa
198010,0.025,Orissa
198011,0.021,Orissa
198012,0.027,Orissa
198013,0.551,Orissa
198101,0.032,Orissa
198102,0.026,Orissa
198103,0.028,Orissa
198104,0.022,Orissa
198105,0.044,Orissa
198106,0.041,Orissa
198107,0.034,Orissa
198108,0.041,Orissa
198109,0.04,Orissa
198110,0.046,Orissa
198111,0.036,Orissa
198112,0.037,Orissa
198113,0.427,Orissa
198201,0.031,Orissa
198202,0.029,Orissa
198203,0.013,Orissa
198204,0.033,Orissa
198205,0.037,Orissa
198206,0.041,Orissa
198207,0.034,Orissa
198208,0.039,Orissa
198209,0.029,Orissa
198210,0.051,Orissa
198211,0.056,Orissa
198212,0.067,Orissa
198213,0.459,Orissa
198301,0.051,Orissa
198302,0.057,Orissa
198303,0.051,Orissa
198304,0.074,Orissa
198305,0.091,Orissa
198306,0.07,Orissa
198307,0.077,Orissa
198308,0.073,Orissa
198309,0.076,Orissa
198310,0.067,Orissa
198311,0.052,Orissa
198312,0.064,Orissa
198313,0.804,Orissa
198401,0.073,Orissa
198402,0.064,Orissa
198403,0.056,Orissa
198404,0.068,Orissa
198405,0.071,Orissa
198406,0.071,Orissa
198407,0.068,Orissa
198408,0.061,Orissa
198409,0.066,Orissa
198410,0.06,Orissa
198411,0.054,Orissa
198412,0.062,Orissa
198413,0.774,Orissa
198501,0.055,Orissa
198502,0.051,Orissa
198503,0.051,Orissa
198504,0.049,Orissa
198505,0.041,Orissa
198506,0.066,Orissa
198507,0.06,Orissa
198508,0.058,Orissa
198509,0.074,Orissa
198510,0.072,Orissa
198511,0.072,Orissa
198512,0.062,Orissa
198513,0.712,Orissa
198601,0.047,Orissa
198602,0.046,Orissa
198603,0.071,Orissa
198604,0.071,Orissa
198605,0.077,Orissa
198606,0.075,Orissa
198607,0.081,Orissa
198608,0.097,Orissa
198609,0.096,Orissa
198610,0.08,Orissa
198611,0.105,Orissa
198612,0.116,Orissa
198613,0.962,Orissa
198701,0.086,Orissa
198702,0.088,Orissa
198703,0.085,Orissa
198704,0.071,Orissa
198705,0.095,Orissa
198706,0.08,Orissa
198707,0.087,Orissa
198708,0.096,Orissa
198709,0.095,Orissa
198710,0.109,Orissa
198711,0.084,Orissa
198712,0.094,Orissa
198713,1.069,Orissa
198801,0.074,Orissa
198802,0.083,Orissa
198803,0.11,Orissa
198804,0.101,Orissa
198805,0.101,Orissa
198806,0.129,Orissa
198807,0.143,Orissa
198808,0.125,Orissa
198809,0.095,Orissa
198810,0.092,Orissa
198811,0.095,Orissa
198812,0.111,Orissa
198813,1.258,Orissa
198901,0.145,Orissa
198902,0.1,Orissa
198903,0.107,Orissa
198904,0.116,Orissa
198905,0.109,Orissa
198906,0.117,Orissa
198907,0.179,Orissa
198908,0.177,Orissa
198909,0.165,Orissa
198910,0.121,Orissa
198911,0.101,Orissa
198912,0.152,Orissa
198913,1.591,Orissa
199001,0.153,Orissa
199002,0.236,Orissa
199003,0.236,Orissa
199004,0.231,Orissa
199005,0.29,Orissa
199006,0.251,Orissa
199007,0.281,Orissa
199008,0.273,Orissa
199009,0.297,Orissa
199010,0.326,Orissa
199011,0.231,Orissa
199012,0.296,Orissa
199013,3.101,Orissa
199101,0.306,Orissa
199102,0.236,Orissa
199103,0.302,Orissa
199104,0.3,Orissa
199105,0.273,Orissa
199106,0.208,Orissa
199107,0.255,Orissa
199108,0.233,Orissa
199109,0.214,Orissa
199110,0.207,Orissa
199111,0.217,Orissa
199112,0.243,Orissa
199113,2.995,Orissa
199201,0.327,Orissa
199202,0.351,Orissa
199203,0.383,Orissa
199204,0.302,Orissa
199205,0.23,Orissa
199206,0.302,Orissa
199207,0.333,Orissa
199208,0.531,Orissa
199209,0.449,Orissa
199210,0.476,Orissa
199211,0.426,Orissa
199212,0.485,Orissa
199213,4.596,Orissa
199301,0.608,Orissa
199302,0.532,Orissa
199303,0.569,Orissa
199304,0.517,Orissa
199305,0.565,Orissa
199306,0.643,Orissa
199307,0.823,Orissa
199308,0.736,Orissa
199309,0.846,Orissa
199310,0.734,Orissa
199311,0.666,Orissa
199312,0.791,Orissa
199313,8.031,Orissa
199401,0.91,Orissa
199402,0.716,Orissa
199403,0.76,Orissa
199404,0.575,Orissa
199405,0.476,Orissa
199406,0.579,Orissa
199407,0.622,Orissa
199408,0.533,Orissa
199409,0.505,Orissa
199410,0.503,Orissa
199411,0.479,Orissa
199412,0.462,Orissa
199413,7.119,Orissa
199501,0.686,Orissa
199502,0.665,Orissa
199503,0.56,Orissa
199504,0.387,Orissa
199505,0.64,Orissa
199506,0.737,Orissa
199507,0.615,Orissa
199508,0.863,Orissa
199509,0.709,Orissa
199510,0.798,Orissa
199511,0.898,Orissa
199512,0.669,Orissa
199513,8.226,Orissa
199601,0.734,Orissa
199602,0.566,Orissa
199603,0.462,Orissa
199604,0.522,Orissa
199605,0.583,Orissa
199606,0.578,Orissa
199607,0.852,Orissa
199608,1.022,Orissa
199609,0.848,Orissa
199610,0.698,Orissa
199611,0.609,Orissa
199612,0.652,Orissa
199613,8.126,Orissa
199701,0.414,Orissa
199702,0.41,Orissa
199703,0.256,Orissa
199704,0.761,Orissa
199705,0.998,Orissa
199706,1.069,Orissa
199707,1.065,Orissa
199708,1.185,Orissa
199709,1.195,Orissa
199710,1.038,Orissa
199711,1.002,Orissa
199712,0.978,Orissa
199713,10.371,Orissa
199801,1.112,Orissa
199802,0.873,Orissa
199803,0.893,Orissa
199804,1.007,Orissa
199805,1.043,Orissa
199806,1.19,Orissa
199807,1.254,Orissa
199808,1.175,Orissa
199809,1.109,Orissa
199810,1.027,Orissa
199811,1.008,Orissa
199812,0.927,Orissa
199813,12.617,Orissa
199901,0.931,Orissa
199902,0.769,Orissa
199903,0.981,Orissa
199904,0.881,Orissa
199905,0.989,Orissa
199906,0.993,Orissa
199907,1.205,Orissa
199908,1.331,Orissa
199909,0.824,Orissa
199910,0.829,Orissa
199911,0.772,Orissa
199912,0.983,Orissa
199913,11.487,Orissa
200001,1.439,Orissa
200002,1.174,Orissa
200003,0.777,Orissa
200004,0.795,Orissa
200005,0.724,Orissa
200006,0.88,Orissa
200007,0.519,Orissa
200008,1.011,Orissa
200009,0.775,Orissa
200010,0.61,Orissa
200011,0.659,Orissa
200012,0.709,Orissa
200013,10.073,Orissa
200101,0.912,Orissa
200102,0.827,Orissa
200103,0.813,Orissa
200104,0.655,Orissa
200105,0.748,Orissa
200106,0.843,Orissa
200107,0.993,Orissa
200108,1.035,Orissa
200109,0.95,Orissa
200110,0.915,Orissa
200111,0.806,Orissa
200112,1.044,Orissa
200113,10.541,Orissa
200201,1.356,Orissa
200202,1.412,Orissa
200203,1.496,Orissa
200204,1.426,Orissa
200205,1.61,Orissa
200206,1.734,Orissa
200207,1.536,Orissa
200208,1.727,Orissa
200209,1.572,Orissa
200210,1.323,Orissa
200211,1.268,Orissa
200212,1.427,Orissa
200213,17.888,Orissa
200301,1.179,Orissa
200302,1.087,Orissa
